Estacion,Date,Mes,Year,SO2,CO,NO,NO2,NOx,O3,C7H8,C6H6,C8H10,PM10,Ruido,PM25,PM1,CH4,Veloc,Direc,VelocMax,Temp,HRel,Pres,RSol,Precip,NH3,lat,lon,long
Moli del Sol,12-2020,12,2020,1.33,0.01,487.26,246.95,2061.11,732.9,,,,186.87,,173.68,118.57,,4.24,8811.8,18.39,29.62,334.06,37.1,,0.0,,39.48215563893474,,-0.4086328955568287
Moli del Sol,1-2021,1,2021,1.98,0.01,356.44,267.37,1728.5,610.21,,,,115.95,,97.25,68.47,,10.67,7133.21,44.04,32.72,321.7,43.5,,1.94,,39.48215563893474,,-0.4086328955568287
Moli del Sol,2-2021,2,2021,2.44,0.0,99.67,133.18,532.27,600.17,,,,289.37,,270.53,185.78,,6.57,12480.99,25.42,26.59,308.52,63.25,,0.06,,39.48215563893474,,-0.4086328955568287
Moli del Sol,3-2021,3,2021,1.2,0.0,73.99,156.01,496.78,758.08,,,,186.82,,177.99,129.23,,4.14,11650.93,16.12,29.45,464.32,40.05,,0.13,,39.48215563893474,,-0.4086328955568287
Moli del Sol,4-2021,4,2021,0.52,0.0,86.04,113.21,473.61,774.01,,,,115.88,,110.15,79.6,,3.27,11501.86,14.01,27.21,435.93,25.08,,0.26,,39.48215563893474,,-0.4086328955568287
Moli del Sol,5-2021,5,2021,0.86,0.0,51.26,108.54,361.29,557.95,,,,100.72,,94.55,63.9,,4.65,10437.42,17.08,29.6,510.52,14.56,,0.03,,39.48215563893474,,-0.4086328955568287
Moli del Sol,6-2021,6,2021,0.06,0.0,26.0,102.88,256.6,660.89,,,,114.44,,100.17,61.83,,4.23,10559.9,14.41,34.41,525.5,23.56,,0.02,,39.48215563893474,,-0.4086328955568287
Moli del Sol,7-2021,7,2021,0.82,0.0,14.41,66.0,149.33,549.47,,,,61.06,,59.05,42.24,,3.96,12294.97,15.06,38.56,464.7,19.21,,0.15,,39.48215563893474,,-0.4086328955568287
Moli del Sol,8-2021,8,2021,0.82,0.0,32.48,69.14,235.06,480.92,,,,111.66,,98.38,54.32,,5.51,11725.87,21.66,40.84,432.58,15.69,,0.61,,39.48215563893474,,-0.4086328955568287
Moli del Sol,9-2021,9,2021,1.07,0.0,13.6,56.22,126.97,580.48,,,,90.95,,90.59,70.56,,6.02,12393.76,21.94,41.07,297.61,19.55,,0.61,,39.48215563893474,,-0.4086328955568287
